"73","67","terminal emulation software","software de simulación de terminales","Computer programs which display video terminals through some another type of program, such as text.","","","","43162606","61475","false","false","3"
"87","67","modem software","software de módem","Computer programs which allow a user to control a modem and ensure it is functioning correctly.","","","","43162704","10525","false","false","3"
"80","67","switch & router software","software de dispositivos de interconexión","Computer programs which controls the switch and router, which link computers in a network.","","","","43162613","87387","false","false","3"
"82","67","communications server software","software de comunicaciones","Computer program which controls a communications server, which is a carrier-grade computing system to control network infrastructure","","","","43162615","122549","false","false","3"
"95","21","screen savers","protectores de pantalla","Static or moving images which appear on your computer screen after a certain amount of inactivity, the time of which can be set by the user.","screen saver, screen savers","","","43162902","1282","false","false","3"
"94","2834","video games","vídeo juegos","Electronic games which involves a human interacting with a user interface, generating visual feedback on a video device such as a laptop, games console or handheld device.","","","","43162901","5129268","false","false","2"
"89","21","video software","software de video","Computer programs which allow videos to be displayed on a device.","","http://images.icecat.biz/img/low_pic/89-1215.jpg","http://images.icecat.biz/thumbs/CAT89.jpg","43162706","415852","false","false","3"
"88","67","remote access software","software de acceso remoto","Computer program which allows you to access a data system from a remote location, for example through a VPN (virtual private network).","","","","43162705","142484","false","false","3"
"98","21","family titles","título del consumidor","Computer games, videos and other media that is suitable for all ages.","","","","43162905","844","false","false","3"
"99","21","educational software","programas educativos","Computer programs which aim to teach the user something e.g. software aimed at learning a language.","","","","43162906","152828","false","false","3"
"106","2833","computer components","componentes","A hardware component of a computer such as a hard disk or memory.","Componente del ordenador","","","43201000","81280060","false","false","1"
"107","2833","telecom & navigation","dispositivos móviles y accesorios","Portable computer devices and phones, and their accessories such as cables and stands","","","","43222800","36232041","false","false","1"
"119","107","mobile phones","teléfonos móviles","A mobile phone, also known as a cellphone, mobile, or handphone, is an electronic telecommunications device with the same basic capability as a conventional fixed line telephone, but which is also entirely portable and is not required to be connected with a wire to the telephone network. With most modern cellphones you can do a lot more than just making phonecalls: with most models you can send an SMS or e-mail, surf the internet, play games, save phone numbers so you'll never have to write down or memorize them again and much, much more.","","http://images.icecat.biz/img/low_pic/119-3675.jpg","http://images.icecat.biz/thumbs/CAT119.jpg","43171512","3140262","true","true","2"
"117","107","telephones","teléfonos","Call your friends, business partners or customers with one of these great telephones!","","http://images.icecat.biz/img/low_pic/117-1342.jpg","http://images.icecat.biz/thumbs/CAT117.jpg","43171510","2234183","true","false","2"
"115","242","switchboard equipment","equipo para tablero de distribución","Equipment that allows you to interconnect circuits of telephones to establish telephone calls between different users.","","","http://images.icecat.biz/thumbs/CAT115.jpg","43171508","18907","false","false","2"
